,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
275,lazaro cardenas,100,MX,1580712703,77,17.96,-102.2,74.5,2.57
276,sabha,0,LY,1580712704,73,27.04,14.43,52.95,12.48
277,paullo,90,IT,1580712704,100,45.42,9.4,45.0,2.24
278,evensk,0,RU,1580712704,72,61.95,159.23,-19.37,15.23
279,pangnirtung,0,CA,1580712704,71,66.15,-65.71,-13.04,8.37
280,bonfim,27,BR,1580712704,65,3.08,-59.95,76.44,9.78
281,ellisras,0,ZA,1580712704,60,-23.66,27.74,73.36,13.0
282,airai,99,TL,1580712705,79,-8.93,125.41,76.87,2.95
283,praia,27,CV,1580712705,31,14.92,-23.51,73.4,13.87
284,port macquarie,40,AU,1580712705,69,-31.43,152.92,86.0,9.17
285,bethel,90,US,1580712705,98,41.37,-73.41,37.4,5.82
286,fayetteville,1,US,1580712705,50,35.05,-78.88,53.6,6.93
287,coihaique,90,CL,1580712705,93,-45.58,-72.07,48.2,2.24
288,deputatskiy,16,RU,1580712706,91,69.3,139.9,-28.37,4.76
289,barra do garcas,100,BR,1580712706,93,-15.89,-52.26,72.0,1.16
290,romny,78,UA,1580712706,86,50.75,33.47,35.8,12.08
291,taoudenni,0,ML,1580712706,25,22.68,-3.98,58.89,8.66
292,ambon,40,ID,1580712472,55,-3.7,128.18,91.4,12.75
293,tsumeb,0,NA,1580712706,53,-19.23,17.72,73.4,5.82
294,morris,90,US,1580712653,100,40.83,-74.53,37.99,3.36
295,butembo,92,CD,1580712707,66,0.15,29.28,67.46,1.7
296,guerrero negro,12,MX,1580712707,58,27.98,-114.06,62.82,7.81
297,salinas,1,US,1580712707,70,36.68,-121.66,50.0,13.73
298,morehead,1,US,1580712707,61,37.27,-87.18,51.01,4.7
299,moree,57,AU,1580712707,22,-29.47,149.85,96.8,19.46
300,santiago del estero,0,AR,1580712708,58,-27.8,-64.26,75.99,4.52
301,mahina,20,PF,1580712708,54,-17.51,-149.49,84.2,10.29
302,willowmore,0,ZA,1580712708,45,-33.29,23.49,77.61,1.99
303,tiarei,20,PF,1580712708,54,-17.53,-149.33,84.2,10.29
304,juneau,90,US,1580712479,92,58.3,-134.42,24.01,4.7
305,axim,0,GH,1580712708,95,4.87,-2.24,74.26,2.35
306,tshikapa,99,CD,1580712709,95,-6.42,20.8,70.74,1.41
307,port hardy,40,CA,1580712709,93,50.7,-127.42,32.0,6.93
308,ostrovnoy,100,RU,1580712709,95,68.05,39.51,8.91,4.99
309,moerai,100,PF,1580712709,82,-22.43,-151.33,80.71,13.56
310,heilbron,54,ZA,1580712709,69,-27.28,27.97,64.87,9.44
311,mutis,99,CO,1580712709,83,6.23,-77.4,79.9,2.1
312,najran,45,SA,1580712710,41,17.49,44.13,57.2,4.7
313,vega de alatorre,100,MX,1580712710,76,20.03,-96.63,69.44,15.3
314,laguna,1,US,1580712710,60,38.42,-121.42,46.4,5.82
315,mao,55,ES,1580712710,93,39.89,4.27,51.8,6.93
316,ratnagiri,86,IN,1580712710,33,16.98,73.3,88.93,4.21
317,ketchikan,90,US,1580712598,100,55.34,-131.65,30.2,5.82
318,champerico,0,GT,1580712711,81,14.3,-91.92,74.57,1.81
319,diyarb najm,60,EG,1580712711,82,30.75,31.44,55.4,3.36
320,erzin,29,TR,1580712711,93,36.96,36.2,48.99,2.24
321,westport,90,US,1580712494,86,41.14,-73.36,37.99,6.93
322,haines junction,70,CA,1580712711,77,60.75,-137.51,-6.45,8.3
323,bilibino,100,RU,1580712711,100,68.05,166.44,-41.39,2.19
324,mayo,1,US,1580712521,70,38.89,-76.51,57.2,7.74
325,flinders,75,AU,1580712712,72,-34.58,150.86,84.0,16.11
326,baglung,0,NP,1580712712,31,28.27,83.59,45.72,6.87
327,hofn,100,IS,1580712712,84,64.25,-15.21,38.46,22.59
328,marzuq,93,YE,1580712713,48,14.4,46.47,67.01,2.73
329,whitehorse,75,CA,1580712713,69,60.72,-135.05,-7.6,27.51
330,kempele,75,FI,1580712713,85,64.92,25.58,24.8,14.99
331,baruun-urt,0,MN,1580712713,80,46.68,113.28,-6.0,9.62
332,sistranda,75,NO,1580712713,81,63.73,8.83,34.0,4.7
333,maun,0,BW,1580712714,47,-19.98,23.42,77.0,10.29
334,shingu,75,JP,1580712714,43,33.73,135.98,55.4,14.99
335,hirara,20,JP,1580712714,52,24.8,125.28,69.8,8.05
336,bereda,89,ES,1580712714,72,43.27,-7.54,66.0,13.87
337,loiza,20,PR,1580712714,83,18.43,-65.88,75.2,4.34
338,bambous virieux,75,MU,1580712714,83,-20.34,57.76,84.0,17.22
339,basco,93,PH,1580712715,66,20.45,121.97,71.42,15.88
340,fort abbas,0,PK,1580712715,28,29.19,72.85,64.9,5.97
341,asau,40,RO,1580712715,66,46.43,26.4,54.0,14.99
342,rosetta,80,EG,1580712715,93,31.4,30.42,51.8,3.36
343,kerema,10,PG,1580712715,58,-7.96,145.78,88.97,7.9
344,port elizabeth,0,ZA,1580712716,74,-33.92,25.57,80.6,4.7
345,bairiki,86,KI,1580712716,77,1.33,172.98,83.12,15.28
346,muroto,75,JP,1580712716,41,33.28,134.15,57.2,6.93
347,great falls,75,US,1580712652,78,47.5,-111.3,19.0,4.7
348,gazanjyk,82,TM,1580712717,81,39.24,55.52,40.15,11.77
349,merauke,33,ID,1580712717,60,-8.47,140.33,88.59,9.89
350,rio grande,0,BR,1580712717,85,-32.03,-52.1,71.82,15.08
351,san martin,0,AR,1580712702,50,-33.08,-68.47,78.8,3.36
352,petropavlovsk-kamchatskiy,2,RU,1580712717,50,53.05,158.65,6.8,2.24
353,huarmey,100,PE,1580712718,80,-10.07,-78.15,72.34,1.95
354,karasjok,75,NO,1580712718,79,69.47,25.51,28.4,28.86
355,bubaque,18,GW,1580712718,75,11.28,-15.83,76.89,4.7
356,russell,1,US,1580712718,53,32.35,-85.2,50.0,6.93
357,korem,96,ET,1580712718,88,12.51,39.52,56.82,3.87
358,noumea,40,NC,1580712677,44,-22.28,166.46,93.2,8.05
359,mackay,0,AU,1580712493,58,-21.15,149.2,89.01,12.75
360,hambantota,40,LK,1580712719,66,6.12,81.12,87.8,12.75
361,shelburne,90,CA,1580712719,93,44.08,-80.2,37.0,12.77
362,pecanha,7,BR,1580712719,96,-18.55,-42.56,65.52,2.33
363,coaticook,90,CA,1580712719,85,45.13,-71.8,24.01,3.0
364,inhambane,40,MZ,1580712719,83,-23.86,35.38,82.4,4.7
365,dunmore town,0,BS,1580712720,60,25.5,-76.65,68.11,12.64
366,arauca,29,CO,1580712720,79,7.08,-70.76,75.24,4.03
367,aquin,57,HT,1580712720,82,18.28,-73.4,75.42,8.66
368,moro,0,PK,1580712720,45,26.66,68.0,66.2,6.93
369,okha,100,RU,1580712721,95,53.57,142.95,7.41,8.7
370,envira,100,BR,1580712721,98,-7.3,-70.22,70.72,1.21
371,nyurba,60,RU,1580712721,95,63.28,118.33,-26.39,3.65
372,cornelio procopio,75,BR,1580712721,94,-23.18,-50.65,69.8,2.24
373,algiers,20,DZ,1580712721,93,36.75,3.04,42.8,3.33
374,isla mujeres,40,MX,1580712722,82,21.23,-86.73,62.6,6.93
375,vzmorye,75,RU,1580712722,76,54.7,20.24,39.2,17.9
376,humaita,100,BR,1580712722,97,-7.51,-63.02,73.8,1.19
377,rocha,0,UY,1580712722,95,-34.48,-54.33,64.96,8.32
378,severobaykalsk,43,RU,1580712723,90,55.65,109.32,-3.62,13.2
379,kantabanji,0,IN,1580712723,37,20.48,82.92,80.19,3.18
380,gao,0,ML,1580712723,13,16.64,1.64,65.44,8.39
381,khrebtovaya,0,RU,1580712723,83,56.7,104.25,-11.49,2.95
382,megion,94,RU,1580712723,84,61.03,76.11,8.6,4.47
383,sirari,92,TZ,1580712723,86,-1.23,34.43,67.57,4.05
384,takoradi,0,GH,1580712724,95,4.88,-1.76,74.26,2.35
385,san quintin,34,MX,1580712724,87,30.48,-115.95,57.2,9.35
386,monywa,0,MM,1580712724,25,22.12,95.13,77.23,9.17
387,henties bay,73,NA,1580712724,91,-22.12,14.28,62.01,5.01
388,abonnema,90,NG,1580712724,100,4.71,6.79,69.8,3.27
389,srivardhan,30,IN,1580712725,48,18.03,73.02,80.78,6.67
390,maniitsoq,100,GL,1580712725,84,65.42,-52.9,14.97,9.46
391,samarai,96,PG,1580712725,59,-10.62,150.67,87.58,7.29
392,wuwei,0,CN,1580712725,9,37.93,102.64,38.91,4.85
393,oktyabrskoye,72,RU,1580712726,60,43.06,44.74,42.8,2.24
394,half moon bay,20,US,1580712726,70,37.46,-122.43,46.99,23.04
395,powell river,20,CA,1580712726,80,49.85,-124.54,35.01,4.7
396,pitimbu,20,BR,1580712726,94,-7.47,-34.81,77.0,1.7
397,agadez,0,NE,1580712726,21,19.75,10.25,59.47,6.87
398,matay,0,EG,1580712726,77,28.42,30.78,49.64,5.01
399,el limon,95,VE,1580712727,90,10.31,-67.63,71.11,4.25
400,broome,90,US,1580712727,97,42.25,-75.83,35.01,8.05
401,khorixas,9,NA,1580712727,33,-20.37,14.97,77.0,1.3
402,hitiaa,20,PF,1580712727,54,-17.6,-149.3,84.2,10.29
403,krasnoye,75,UA,1580712727,100,49.91,24.61,37.4,8.95
404,chapada dos guimaraes,99,BR,1580712606,69,-15.46,-55.75,82.4,2.24
405,dalvik,92,IS,1580712728,91,65.97,-18.53,3.2,5.99
406,kysyl-syr,4,RU,1580712728,94,63.9,122.76,-28.8,5.68
407,igbo ora,0,NG,1580712728,29,7.43,3.28,64.33,3.06
408,victoria,20,HK,1580712660,60,22.29,114.16,75.99,14.99
409,prince rupert,1,CA,1580712728,92,54.32,-130.32,30.2,6.93
410,komsomolskiy,100,UZ,1580712729,36,40.43,71.72,44.6,6.93
411,zeya,100,RU,1580712729,87,53.75,127.27,1.26,6.89
412,seoul,1,KR,1580712729,25,37.57,126.98,39.2,6.93
413,nisia floresta,40,BR,1580712729,94,-6.09,-35.21,78.8,3.36
414,olinda,75,BR,1580712729,88,-8.01,-34.86,78.8,5.82
415,homestead,1,US,1580712540,87,25.47,-80.48,57.99,6.11
416,sasaram,0,IN,1580712730,33,24.95,84.01,67.39,6.13
417,batagay,0,RU,1580712730,93,67.63,134.63,-33.95,1.63
418,road town,1,VG,1580712556,83,18.42,-64.62,75.2,3.36
419,makakilo city,75,US,1580712730,88,21.35,-158.09,75.2,6.46
420,codrington,0,AU,1580712730,62,-38.27,141.97,57.74,18.45
421,bandarbeyla,98,SO,1580712730,68,9.49,50.81,77.4,17.98
422,gondanglegi,65,ID,1580712731,63,-7.75,112.01,88.45,5.21
423,siverek,40,TR,1580712731,69,37.76,39.32,39.2,3.15
424,rundu,35,NA,1580712731,64,-17.93,19.77,75.2,4.7
425,zhezkazgan,7,KZ,1580712731,85,47.8,67.71,14.0,4.47
426,acarau,23,BR,1580712731,95,-2.89,-40.12,74.57,2.8
427,itaituba,49,BR,1580712731,98,-4.28,-55.98,71.92,1.36
428,tabou,15,CI,1580712732,98,4.42,-7.35,73.65,2.82
429,fairbanks,90,US,1580712659,76,64.84,-147.72,1.0,3.27
430,ouallam,0,NE,1580712732,15,14.32,2.09,60.3,5.93
431,anito,31,PH,1580712732,69,12.45,125.29,77.83,15.14
432,atar,0,MR,1580712732,13,20.52,-13.05,66.99,15.46
433,qarayeri,20,AZ,1580712732,69,40.79,46.31,46.4,6.93
434,sakaiminato,75,JP,1580712733,45,35.55,133.23,48.2,16.11
435,araouane,0,ML,1580712733,12,18.9,-3.53,60.82,9.04
436,lodja,90,CD,1580712733,94,-3.48,23.43,70.99,3.42
437,chara,100,RU,1580712733,91,56.91,118.26,-14.73,7.05
438,mitsamiouli,20,KM,1580712733,74,-11.38,43.28,86.0,8.05
439,minna,7,NG,1580712733,20,9.61,6.56,73.4,16.11
440,portobelo,20,PA,1580712734,78,9.55,-79.65,78.01,2.24
441,beloha,0,MG,1580712734,44,-25.17,45.05,83.88,12.5
442,tual,71,ID,1580712734,79,-5.67,132.75,83.97,18.19
443,hovd,0,MN,1580712734,53,48.01,91.64,3.6,4.16
444,pithoragarh,0,IN,1580712734,37,29.58,80.22,56.7,0.85
445,launceston,40,AU,1580712654,33,-41.45,147.17,63.0,16.11
446,bonavista,100,CA,1580712735,89,48.65,-53.11,30.99,15.99
447,roma,90,US,1580712451,96,43.21,-75.46,34.0,5.68
448,ishigaki,20,JP,1580712735,56,24.34,124.16,69.8,8.05
449,vangaindrano,82,MG,1580712735,86,-23.35,47.6,76.89,5.23
450,shenxian,0,CN,1580712735,27,36.24,115.67,47.62,10.98
451,mascote,33,BR,1580712736,99,-15.56,-39.3,71.04,1.03
452,beasain,60,ES,1580712736,100,43.05,-2.2,64.0,3.96
453,kandrian,99,PG,1580712736,68,-6.22,149.55,86.7,9.53
454,koboko,16,UG,1580712736,19,3.41,30.96,78.69,4.79
455,morlaix,90,FR,1580712736,93,48.58,-4.0,51.8,8.05
456,boquira,99,BR,1580712736,79,-12.82,-42.73,73.92,1.88
457,pinega,100,RU,1580712737,96,64.7,43.39,26.02,6.22
458,doudleby nad orlici,90,CZ,1580712737,87,50.11,16.26,46.4,13.87
459,baoshan,12,CN,1580712737,72,46.56,131.42,6.6,14.03
460,gus-zheleznyy,100,RU,1580712737,92,55.06,41.17,34.79,8.68
461,ledyard,75,US,1580712737,91,41.44,-72.01,37.99,3.04
462,isabela,40,PH,1580712737,62,6.71,121.97,86.0,6.93
463,saint-augustin,100,CA,1580712738,92,51.23,-58.65,20.61,27.02
464,gat,37,IL,1580712738,81,31.61,34.76,55.0,5.82
465,vicuna,90,CL,1580712738,82,-30.03,-70.71,64.4,3.36
466,taitung,75,TW,1580712738,60,22.76,121.14,71.6,3.36
467,galveston,1,US,1580712739,82,29.37,-94.97,63.0,16.11
468,uribia,46,CO,1580712739,84,11.71,-72.27,75.31,4.83
469,kankan,0,GN,1580712739,20,10.39,-9.31,61.84,2.3
470,rafaela,0,AR,1580712739,53,-31.25,-61.49,75.0,1.01
471,atikokan,79,CA,1580712739,93,48.76,-91.62,22.03,8.7
472,dongargaon,54,IN,1580712740,30,20.97,80.85,71.46,8.86
473,san policarpo,47,PH,1580712740,69,12.18,125.51,78.19,14.41
474,plettenberg bay,0,ZA,1580712740,74,-34.05,23.37,73.08,3.49
475,nanortalik,1,GL,1580712740,33,60.14,-45.24,22.32,4.18
476,cukai,40,MY,1580712740,66,4.25,103.42,87.8,6.93
477,belmonte,40,BR,1580712740,88,-15.86,-38.88,77.0,0.98
478,quincy,1,US,1580712741,86,42.25,-71.0,32.0,3.06
479,genhe,100,CN,1580712741,84,50.78,121.52,-11.78,8.21
480,kristinehamn,0,SE,1580712741,86,59.31,14.11,28.4,3.36
481,okhotsk,65,RU,1580712741,55,59.38,143.3,-9.26,1.3
482,werneck,90,DE,1580712741,93,49.98,10.1,48.0,19.46
483,kavaratti,68,IN,1580712742,70,10.57,72.64,81.25,9.89
484,jinotega,3,NI,1580712742,87,13.09,-86.0,63.55,7.05
485,singaparna,93,ID,1580712742,80,-7.35,108.11,80.74,4.03
486,biloela,0,AU,1580712742,25,-24.42,150.5,93.49,1.14
487,wodonga,0,AU,1580712742,22,-36.12,146.88,73.4,19.46
488,ous,98,RU,1580712742,94,60.91,61.52,12.18,8.48
489,joshimath,0,IN,1580712743,25,30.57,79.57,41.9,2.75
490,tongren,93,CN,1580712743,80,27.72,109.19,46.13,6.2
491,sept-iles,90,CA,1580712595,62,50.2,-66.38,21.2,6.93
492,constantine,65,DZ,1580712743,93,36.37,6.61,39.2,2.91
493,thunder bay,75,CA,1580712674,85,48.4,-89.32,26.01,3.36
494,kieta,63,PG,1580712744,75,-6.22,155.63,84.74,7.67
495,onda,55,ES,1580712744,87,39.97,-0.25,55.99,1.12
496,darfield,89,GB,1580712744,70,53.53,-1.38,48.2,18.34
497,krasnoselkup,100,RU,1580712744,94,65.7,82.47,6.31,19.93
498,labuhan,84,ID,1580712744,74,-6.88,112.21,85.44,5.37
499,burnie,38,AU,1580712744,51,-41.07,145.92,60.01,21.0
500,mogadishu,40,SO,1580712745,58,2.04,45.34,82.4,16.11
501,north platte,75,US,1580712745,79,41.12,-100.77,32.0,21.92
502,kapuskasing,90,CA,1580712448,86,49.42,-82.43,26.6,9.17
503,krasnyy chikoy,100,RU,1580712745,84,50.36,108.75,-4.72,10.54
504,poum,100,NC,1580712745,83,-20.23,164.02,81.0,21.43
505,rawson,8,AR,1580712745,59,-43.3,-65.1,67.69,31.54
506,roald,46,NO,1580712746,65,62.58,6.13,33.8,9.17
507,high level,75,CA,1580712746,82,58.52,-117.14,-20.2,3.36
508,grindavik,90,IS,1580712746,70,63.84,-22.43,33.8,11.41
509,crateus,100,BR,1580712746,95,-5.18,-40.68,72.05,1.88
510,aitape,85,PG,1580712746,77,-3.14,142.35,84.0,17.0
511,danjiangkou,67,CN,1580712747,33,32.54,111.51,53.76,7.85
512,brodick,75,GB,1580712747,75,55.58,-5.15,44.6,25.28
513,nioki,3,CD,1580712747,91,-2.72,17.68,74.44,2.64
514,two rivers,1,US,1580712747,80,44.15,-87.57,35.6,5.82
515,maningrida,100,AU,1580712747,78,-12.07,134.27,85.03,16.44
516,buin,0,CL,1580712747,36,-33.73,-70.75,70.0,8.05
517,tall kayf,0,TR,1580712748,80,37.08,41.07,37.4,2.24
518,kaputa,100,ZM,1580712748,95,-8.47,29.66,66.09,1.63
519,hazebrouck,90,FR,1580712748,81,50.72,2.54,51.01,17.22
520,otane,50,NZ,1580712748,64,-39.88,176.63,73.99,3.0
521,mgandu,100,TZ,1580712748,93,-5.95,34.13,64.11,4.16
522,cayenne,20,GF,1580712748,94,4.93,-52.33,71.6,4.79
523,mercedes,0,AR,1580712749,76,-34.65,-59.43,78.01,7.78
524,anadyr,0,RU,1580712749,65,64.75,177.48,-36.0,8.95
525,ruyigi,56,BI,1580712749,91,-3.45,30.32,66.69,1.25
526,prince george,1,CA,1580712560,85,53.92,-122.75,19.99,4.7
527,waipawa,37,NZ,1580712749,83,-41.41,175.52,70.0,21.92
528,zelenoborsk,89,RU,1580712749,95,61.47,64.03,9.63,9.53
529,miajadas,20,ES,1580712750,96,39.15,-5.91,48.0,5.01
530,wanning,62,CN,1580712750,68,18.8,110.4,74.01,7.67
531,copiapo,4,CL,1580712750,72,-27.37,-70.33,66.2,5.82
532,san isidro,100,PE,1580712750,83,-12.12,-77.05,73.4,10.29
533,talnakh,20,RU,1580712750,76,69.49,88.4,-4.0,40.26
534,baykit,100,RU,1580712750,88,61.67,96.37,-17.72,2.89
535,itarema,23,BR,1580712751,95,-2.92,-39.92,74.57,2.8
536,innisfail,97,AU,1580712615,53,-17.53,146.03,88.0,3.0
537,richards bay,0,ZA,1580712751,78,-28.78,32.04,77.61,17.07
538,roswell,1,US,1580712600,70,34.02,-84.36,53.6,5.12
539,la libertad,100,EC,1580712751,89,-2.23,-80.9,75.65,3.2
540,pine bluff,1,US,1580712752,47,34.23,-92.0,60.8,5.82
541,verkh-usugli,64,RU,1580712752,62,52.7,115.17,-6.57,7.0
542,bure,42,ET,1580712752,32,10.7,37.07,70.56,2.53
543,adrar,0,MR,1580712752,16,20.5,-10.07,62.31,11.83
544,coihueco,0,CL,1580712752,76,-36.62,-71.83,51.8,2.24
545,chicama,75,PE,1580712753,88,-7.84,-79.15,71.6,6.93
546,paratebueno,86,CO,1580712753,77,4.38,-73.22,76.93,1.63
547,ukhta,100,RU,1580712753,91,63.57,53.68,24.85,10.51
548,saran,90,FR,1580712753,100,47.95,1.88,55.0,11.41
549,manggar,100,ID,1580712753,71,-2.88,108.27,82.99,4.76
550,bhavnagar,0,IN,1580712754,25,21.77,72.15,77.43,9.22
551,humberto de campos,47,BR,1580712673,91,-2.6,-43.46,75.85,3.76
552,paranaiba,100,BR,1580712754,94,-19.68,-51.19,71.6,1.1
